pet_id,pet_type,Appointment_id,scheduled_day,Appointment_day,Age_of_owner,SMS_Recived,chronic_disease,vaccination_due,severity_level,previous_visits,emergency_case,mobility_issue,No-Show
6275,Rabbit,50000,2024-02-24,2024-03-01,43,1,0,0,1,7,0,0,No
1514,Cat,50001,2024-01-05,2024-01-11,47,1,0,1,1,2,1,0,No
3080,Dog,50002,2024-03-25,2024-04-07,32,1,1,0,2,1,0,0,No
8147,Cat,50003,2024-03-22,2024-03-29,51,1,0,0,1,6,0,0,No
8346,Dog,50004,2024-01-14,2024-01-16,23,0,0,0,3,7,0,1,No
1951,Cat,50005,2024-01-27,2024-02-06,50,1,0,1,3,9,0,0,No
7501,Dog,50006,2024-01-25,2024-01-28,41,0,1,1,2,5,0,0,Yes
6116,Dog,50007,2024-03-19,2024-03-29,18,0,0,0,1,0,0,0,No
3358,Cat,50008,2024-03-23,2024-04-05,44,0,0,0,1,9,0,0,Yes
1751,Cat,50009,2024-02-12,2024-02-26,27,0,1,1,1,2,1,0,No
7611,Bird,50010,2024-02-20,2024-02-28,54,1,0,0,2,1,0,0,No
7317,Cat,50011,2024-01-11,2024-01-20,19,0,1,0,2,4,0,0,No
7948,Cat,50012,2024-02-07,2024-02-13,56,1,0,0,2,4,0,0,Yes
3355,Cat,50013,2024-03-19,2024-03-28,36,1,0,0,1,5,0,0,Yes
5944,Dog,50014,2024-02-21,2024-03-05,45,1,0,0,2,0,0,0,No
6540,Dog,50015,2024-02-01,2024-02-04,68,1,0,0,2,7,0,0,No
9397,Cat,50016,2024-02-14,2024-02-23,60,1,0,0,1,1,0,0,Yes
9721,Rabbit,50017,2024-02-17,2024-02-23,28,1,0,0,1,6,0,0,No
9516,Bird,50018,2024-03-30,2024-04-08,74,1,0,0,1,5,0,0,No
9925,Dog,50019,2024-01-18,2024-01-27,24,1,0,1,3,9,0,0,No
2677,Dog,50020,2024-03-24,2024-03-26,21,0,0,1,1,6,0,0,Yes
6734,Bird,50021,2024-01-16,2024-01-27,74,1,0,0,2,6,0,0,No
2310,Cat,50022,2024-01-05,2024-01-19,56,1,0,0,1,7,0,0,No
8490,Cat,50023,2024-03-05,2024-03-15,47,1,0,1,3,1,0,0,No
6510,Dog,50024,2024-01-10,2024-01-17,60,0,0,0,1,9,0,0,No
9586,Cat,50025,2024-01-17,2024-01-24,44,1,0,1,1,2,0,0,Yes
4975,Rabbit,50026,2024-01-05,2024-01-17,46,1,0,0,1,6,0,0,No
1875,Dog,50027,2024-02-26,2024-03-02,35,1,0,0,2,4,0,0,No
7948,Dog,50028,2024-03-16,2024-03-19,26,0,0,0,1,5,0,0,Yes
